@type	@id	name
relation	11922066	CP Subdivision Adirondack
relation	11960995	Amtrak Keystone Service: New York => Harrisburg
relation	11960996	Amtrak Keystone Service: New York => Harrisburg
relation	11961030	Amtrak Vermonter: Washington => Saint Albans
relation	11961031	Amtrak Vermonter: Saint Albans => Washington
relation	11961041	Amtrak Valley Flyer: Springfield => Greenfield
relation	11961042	Amtrak Valley Flyer: Greenfield => Springfield
relation	11961666	Amtrak Acela: Washington => New York
relation	11961667	Amtrak Acela: Washington => New York
relation	11961668	Amtrak Acela: New York => Washington
relation	11961669	Amtrak Acela: New York => Washington
relation	11961670	Amtrak Acela: Boston => Washington
relation	11961671	Amtrak Acela: Boston => Washington
relation	11961672	Amtrak Acela: Washington => Boston
relation	11961673	Amtrak Acela: Washington => Boston
relation	11961674	Amtrak Acela: Washington => Boston
relation	11961675	Amtrak Acela: New York => Boston
relation	11961676	Amtrak Acela: Boston => New York
relation	11976779	Amtrak Northeast Regional: Washington => Springfield
relation	11976780	Amtrak Northeast Regional: Washington => Springfield
relation	11976781	Amtrak Northeast Regional: Washington => Springfield
relation	11976782	Amtrak Northeast Regional: Springfield => Norfolk
relation	11976783	Amtrak Northeast Regional: Springfield => Washington
relation	11977187	Amtrak Northeast Regional: Roanoke => New York
relation	11977188	Amtrak Northeast Regional: Roanoke => Boston
relation	11977189	Amtrak Northeast Regional: Newport News => Boston
relation	11977190	Amtrak Northeast Regional: Newport News => Boston
relation	11977191	Amtrak Northeast Regional: Newport News => Boston
relation	11977192	Amtrak Northeast Regional: Norfolk => New York
relation	11977193	Amtrak Northeast Regional: Norfolk => Boston
relation	11977194	Amtrak Northeast Regional: Norfolk => Boston
relation	11977195	Amtrak Northeast Regional: New York => Roanoke
relation	11977196	Amtrak Northeast Regional: Boston => Roanoke
relation	11977197	Amtrak Northeast Regional: New York => Newport News
relation	11977198	Amtrak Northeast Regional: Boston => Newport News
relation	11977199	Amtrak Northeast Regional: Boston => Newport News
relation	11977200	Amtrak Northeast Regional: New York => Norfolk
relation	11977201	Amtrak Northeast Regional: Boston => Norfolk
relation	11977831	Amtrak Northeast Regional: Washington => Boston
relation	11977832	Amtrak Northeast Regional: Washington => Boston
relation	11977833	Amtrak Northeast Regional: Washington => Boston
relation	11977834	Amtrak Northeast Regional: Washington => Boston
relation	11977835	Amtrak Northeast Regional: Washington => Boston
relation	11977836	Amtrak Northeast Regional: Washington => Boston
relation	11977837	Amtrak Northeast Regional: Washington => Boston
relation	11977838	Amtrak Northeast Regional: Washington => Boston
relation	11977839	Amtrak Northeast Regional: Boston => Washington
relation	11977840	Amtrak Northeast Regional: Boston => Washington
relation	11977841	Amtrak Northeast Regional: Boston => Washington
relation	11977842	Amtrak Northeast Regional: Boston => Washington
relation	11977843	Amtrak Northeast Regional: Boston => Washington
relation	11977844	Amtrak Northeast Regional: Boston => Washington
relation	11977845	Amtrak Northeast Regional: Boston => Washington
relation	11977846	Amtrak Northeast Regional: Boston => Washington
relation	11977847	Amtrak Northeast Regional: Boston => Washington
relation	11977945	Amtrak Northeast Regional: New York => Boston
relation	11977946	Amtrak Northeast Regional: New York => Boston
relation	11977947	Amtrak Northeast Regional: New York => Boston
relation	11977948	Amtrak Northeast Regional: Boston => New York
relation	11977949	Amtrak Northeast Regional: Boston => New York
relation	11977953	Amtrak Northeast Regional: New York => Washington
relation	11977954	Amtrak Northeast Regional: New York => Washington
relation	11977955	Amtrak Northeast Regional: New York => Washington
relation	11977956	Amtrak Northeast Regional: New York => Washington
relation	11977957	Amtrak Northeast Regional: New York => Washington
relation	11977958	Amtrak Northeast Regional: Washington => New York
relation	11977959	Amtrak Northeast Regional: Washington => New York
relation	11977960	Amtrak Northeast Regional: Washington => New York
relation	11977961	Amtrak Northeast Regional: Washington => New York
relation	11977962	Amtrak Northeast Regional: Washington => New York
relation	11996020	Amtrak Carolinian: Charlotte => New York
relation	12006219	Amtrak Palmetto: Savannah => New York
relation	12009839	Amtrak Silver Meteor: Miami => New York
relation	12009935	Amtrak Auto Train: Sanford => Lorton
relation	12011066	Amtrak Silver Star: Miami => New York
relation	12015551	Amtrak Lake Shore Limited: Chicago => Boston
relation	12022605	Amtrak Capitol Limited: Chicago => Washington
relation	12037189	Amtrak Cardinal: New York => Chicago
relation	12041225	Amtrak Crescent: New York => New Orleans
relation	12044088	Amtrak Wolverine: Pontiac => Chicago
relation	12044089	Amtrak Wolverine: Pontiac => Chicago
relation	12044090	Amtrak Wolverine: Chicago => Pontiac
relation	12044091	Amtrak Wolverine: Chicago => Pontiac
relation	12074397	Amtrak Coast Starlight: Los Angeles => Seattle
relation	12089100	Amtrak Empire Builder: Chicago => Portland
relation	12180533	Amtrak Texas Eagle: Los Angeles => Chicago
relation	12180534	Amtrak Texas Eagle: Chicago => Los Angeles
relation	12180535	Amtrak Texas Eagle: San Antonio => Chicago
relation	12192445	Amtrak Lincoln Service: Chicago => Saint Louis
relation	13919668	"Niagara Falls, New York"
